,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status,status_message,auction_mode
0,DAI-USDC,DAI,USDC,1,250000,0.000001,0.00001,DAI/USDC,5,250000,False,True,0.01000000,False,False,False,False,online,,False
1,CVC-USDC,CVC,USDC,1,2000000,0.000001,1,CVC/USDC,0.1,100000,False,False,0.10000000,False,False,False,False,online,,False
2,KEEP-USD,KEEP,USD,1,910000,0.0001,0.1,KEEP/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
3,JASMY-USD,JASMY,USD,10,11000000,0.00001,1,JASMY/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
4,BTRST-USDT,BTRST,USDT,0.1,250000,0.001,0.01,BTRST/USDT,5,100000,False,False,0.10000000,False,True,False,False,online,,False
5,SOL-BTC,SOL,BTC,0.01,6000,0.0000001,0.001,SOL/BTC,0.0001,2,False,False,0.10000000,False,False,False,False,online,,False
6,OGN-BTC,OGN,BTC,0.1,130000,0.0000001,0.01,OGN/BTC,0.0001,2,False,False,0.10000000,False,False,False,False,online,,False
7,ATOM-BTC,ATOM,BTC,0.1,25000,0.000001,0.1,ATOM/BTC,0.001,30,False,False,0.10000000,False,False,False,False,online,,False
8,BOND-USD,BOND,USD,0.01,6600,0.01,0.001,BOND/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
9,BNT-GBP,BNT,GBP,1,95000,0.0001,0.000001,BNT/GBP,1.0,82000,False,False,0.10000000,False,False,False,False,online,,False
10,FORTH-EUR,FORTH,EUR,0.01,7200,0.001,0.001,FORTH/EUR,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
11,FORTH-BTC,FORTH,BTC,0.01,7200,0.0000001,0.001,FORTH/BTC,0.0001,2,False,False,0.10000000,False,False,False,False,online,,False
12,ATOM-USD,ATOM,USD,0.1,25000,0.001,0.1,ATOM/USD,10,200000,False,False,0.10000000,False,False,False,False,online,,False
13,PAX-USDT,PAX,USDT,0.1,250000,0.01,0.01,PAX/USDT,5.0,100000,False,True,0.01000000,False,False,False,False,online,,False
14,MKR-USD,MKR,USD,0.001,240,0.0001,0.000001,MKR/USD,1.0,200000,False,False,0.10000000,False,False,False,False,online,,False
15,FET-USD,FET,USD,1,1100000,0.0001,0.1,FET/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
16,OMG-BTC,OMG,BTC,1,150000,0.00000001,0.1,OMG/BTC,0.001,500,False,False,0.10000000,False,False,False,False,online,,False
17,FIL-GBP,FIL,GBP,0.01,3400,0.0001,0.001,FIL/GBP,1.0,75000,False,False,0.10000000,False,False,False,False,online,,False
18,NU-USD,NU,USD,10,1300000,0.0001,0.000001,NU/USD,1.0,100000,False,False,0.10000000,False,False,False,False,online,,False
19,IOTX-EUR,IOTX,EUR,10,13000000,0.00001,1,IOTX/EUR,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
20,TRU-EUR,TRU,EUR,1,490000,0.0001,0.1,TRU/EUR,5,100000,False,False,0.10000000,False,False,False,False,online,,False
21,RLY-EUR,RLY,EUR,1,490000,0.0001,1,RLY/EUR,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
22,EOS-EUR,EOS,EUR,0.1,50000,0.001,0.1,EOS/EUR,10,200000,False,False,0.10000000,False,False,False,False,online,,False
23,DOT-GBP,DOT,GBP,0.01,10000,0.001,0.001,DOT/GBP,5,100000,False,False,0.10000000,False,False,False,False,online,,False
24,NKN-USD,NKN,USD,1,1400000,0.0001,0.1,NKN/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
25,CHZ-USD,CHZ,USD,1,900000,0.0001,0.1,CHZ/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
26,MLN-USD,MLN,USD,0.01,3300,0.001,0.001,MLN/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
27,MASK-USD,MASK,USD,0.1,67000,0.01,0.01,MASK/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
28,WCFG-EUR,WCFG,EUR,0.1,240000,0.01,0.01,WCFG/EUR,5,100000,False,False,0.10000000,False,True,False,False,online,,False
29,ANKR-USD,ANKR,USD,10,4000000,0.00001,1,ANKR/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
30,ZEN-BTC,ZEN,BTC,0.01,3000,0.0000001,0.001,ZEN/BTC,0.0001,2,False,False,0.10000000,False,True,False,False,online,,False
31,QNT-USD,QNT,USD,0.01,3600,0.01,0.001,QNT/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
